Unit Address,Unit Status,Tenancy Start,Rent Ceiling,Housing Services,Other
1802 10TH ST,RENTED - Rented or Available,6/24/13,"$1,242.36","Appliances, Garbage, Heat, Parking, Storage, Water",# Bed: 1# Occ: 1
1804 10TH ST,RENTED - Rented or Available,6/1/06,"$1,030.17","Garbage, Parking, Water",# Bed: 1# Occ: 1
1806 10TH ST,RENTED - Rented or Available,7/10/12,"$1,263.48","Appliances, Garbage, Parking, Storage, Water",# Bed: 1# Occ: 3
1808 10TH ST,RENTED - Rented or Available,5/27/06,"$1,030.17","Garbage, Parking, Water",# Bed: 1# Occ: 2
1809 10TH ST #1,NAR - Not Available for Rent since 6/28/1990,n/a,n/a,(no active services),n/a
1809 10TH ST #2,NAR - Not Available for Rent since 5/1/2006,n/a,n/a,(no active services),n/a
1809 10TH ST #3,NAR - Not Available for Rent since 6/28/1990,n/a,n/a,(no active services),n/a
1809 10TH ST #4,NAR - Not Available for Rent since 6/28/1990,n/a,n/a,(no active services),n/a
1809 10TH ST #5,NAR - Not Available for Rent since 12/14/1993,n/a,n/a,Garbage,n/a
1809 10TH ST #6,NAR - Not Available for Rent since 5/1/2006,n/a,n/a,Garbage,n/a
1809 10TH ST #7,NAR - Not Available for Rent since 6/28/1990,n/a,n/a,(no active services),n/a
1809 10TH ST #8,NAR - Not Available for Rent since 12/14/1993,n/a,n/a,Garbage,n/a
1810 10TH ST,RENTED - Rented or Available,1/5/13,"$1,242.36","Appliances, Garbage, Parking, Storage, Water",# Bed: 1# Occ: 2
1812 10TH ST,OOCC - Owner Occupied since 7/15/2016,n/a,n/a,"Garbage, Heat, Parking, Water",n/a
1814 10TH ST,RENTED - Rented or Available since 9/5/1982,n/a,$676.97,"Garbage, Parking, Water",# Bed: 1
1816 10TH ST,RENTED - Rented or Available,9/11/12,"$1,453.00","Appliances, Garbage, Parking, Water",# Bed: 1# Occ: 2
1811 10TH ST,OOCC - Owner Occupied since 1/1/2012,n/a,n/a,"Appliances, Garbage, Parking",n/a
1813 10TH ST,OOCC - Owner Occupied since 7/1/2014,n/a,n/a,"Appliances, Garbage, Laundry Access, Parking",n/a
1815 10TH ST,OOCC - Owner Occupied since 11/26/2008,n/a,n/a,Garbage,n/a
1901 10TH ST #A,RENTED - Rented or Available,5/31/80,$693.91,"Garbage, Parking, Water",# Bed: 1# Occ: 0
1901 10TH ST #B,RENTED - Rented or Available,5/31/80,$693.91,"Garbage, Parking, Water",# Bed: 1# Occ: 0
1903 10TH ST #A,RENTED - Rented or Available,5/31/80,$693.91,"Garbage, Parking, Water",# Bed: 1# Occ: 0
1903 10TH ST #B,RENTED - Rented or Available,5/31/80,$705.28,"Garbage, Parking, Water",# Bed: 1# Occ: 0
1022 HEARST AVE #A,RENTED - Rented or Available,5/31/80,$644.95,"Garbage, Parking, Water",# Bed: 1# Occ: 0
1022 HEARST AVE #B,RENTED - Rented or Available,5/31/80,$644.95,"Garbage, Parking, Water",# Bed: 1# Occ: 0
