Unit Address,Unit Status,Tenancy Start,Rent Ceiling,Housing Services,Other
1806 BERKELEY WAY #8,RENTED - Rented or Available,7/18/16,"$1,800.00",Garbage,# Bed: 1# Occ: 2
1806 BERKELEY WAY #9,RENTED - Rented or Available,6/1/12,"$1,395.10",(no active services),# Bed: 2# Occ: 4
1806 BERKELEY WAY #10,RENTED - Rented or Available,4/1/15,"$2,200.00",Garbage,# Bed: 2# Occ: 2
1806 BERKELEY WAY #11,RENTED - Rented or Available,8/1/10,"$1,468.71",Garbage,# Bed: 2# Occ: 1
1806 BERKELEY WAY #12,RENTED - Rented or Available since 3/30/2007,n/a,$711.74,"Garbage, Laundry Access",# Bed: 2
1810 BERKELEY WAY #1,RENTED - Rented or Available,12/1/12,"$1,421.42",Garbage,# Bed: 2# Occ: 4
1810 BERKELEY WAY #2,RENTED - Rented or Available,7/15/12,"$1,368.77",Garbage,# Bed: 2# Occ: 2
1810 BERKELEY WAY #3,RENTED - Rented or Available,7/1/14,"$1,827.00","Garbage, Laundry Access",# Bed: 2# Occ: 2
1810 BERKELEY WAY #4,RENTED - Rented or Available,5/31/80,$705.76,"Garbage, Laundry Access",# Bed: 2# Occ: 0
1810 BERKELEY WAY #5,RENTED - Rented or Available,5/31/80,$711.74,"Garbage, Laundry Access",# Bed: 2# Occ: 0
1810 BERKELEY WAY #6,RENTED - Rented or Available,6/15/12,"$1,395.10",Garbage,# Bed: 2# Occ: 2
1810 BERKELEY WAY #7,RENTED - Rented or Available,12/1/12,"$1,474.06",Garbage,# Bed: 2# Occ: 2
1810 BERKELEY WAY #8,RENTED - Rented or Available,3/1/15,"$1,454.37",Garbage,# Bed: 2# Occ: 1
1810 BERKELEY WAY #9,RENTED - Rented or Available,6/1/13,"$1,604.72","Garbage, Laundry Access",# Bed: 2# Occ: 2
1810 BERKELEY WAY #10,RENTED - Rented or Available,5/31/80,$708.74,"Garbage, Laundry Access",# Bed: 2# Occ: 0
1811 BERKELEY WAY #LOWER,OOCC - Owner Occupied since 3/3/2011,n/a,n/a,"Garbage, Water",n/a
1811 BERKELEY WAY #UPPER,OOCC - Owner Occupied since 3/3/2011,n/a,n/a,"Garbage, Water",n/a
1815 BERKELEY WAY,RENTED - Rented or Available,1/1/15,"$1,490.00",Garbage,# Bed: 2# Occ: 1
1815 BERKELEY WAY #A,RENTED - Rented or Available,5/31/80,$627.53,"Garbage, Water",# Bed: 0# Occ: 0
1815 BERKELEY WAY #B,RENTED - Rented or Available,3/1/14,$812.00,"Garbage, Parking, Water",# Bed: 1# Occ: 2
1817 BERKELEY WAY,(~) MISC - Exempt-Misc since 1/1/2012,n/a,n/a,Parking,n/a
1817 BERKELEY WAY #1/2,RENTED - Rented or Available,4/15/07,"$1,801.99","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 2# Occ: 2
1819 BERKELEY WAY,RENTED - Rented or Available,8/1/14,"$2,824.75","Appliances, Garbage, Laundry Access, Water",# Bed: 2# Occ: 1
1821 BERKELEY WAY #A,RENTED - Rented or Available,11/1/13,"$1,320.01","Garbage, Water",# Bed: 1# Occ: 1
1821 BERKELEY WAY #B,RENTED - Rented or Available,7/5/99,"$1,627.58","Garbage, Sewer, Water",# Bed: 2# Occ: 2
1823 BERKELEY WAY #A,RENTED - Rented or Available since 6/1/2007,n/a,"$2,243.83","Garbage, Laundry Access, Parking, Storage, Water",# Bed: 2
1823 BERKELEY WAY #B,RENTED - Rented or Available,3/1/96,$633.84,"Garbage, Water",# Bed: 0# Occ: 0
1818 BERKELEY WAY #LO-,(~) MISC - Exempt-Misc since 4/27/2004,n/a,n/a,"Furnishings, Garbage, Parking, Sewer",n/a
1818 BERKELEY WAY #UP-,RENTED - Rented or Available,8/3/15,"$2,200.00",Appliances,# Bed: 1# Occ: 5
1820 BERKELEY WAY,MISC - Exempt-Misc since 6/21/2016,n/a,n/a,(no active services),n/a
1825 BERKELEY WAY,"CHSFD - Single family, C-H exempt since 7/1/1999",n/a,n/a,Garbage,n/a
1827 BERKELEY WAY #A,RENTED - Rented or Available,10/23/10,"$1,414.31","Appliances, Garbage, Laundry Access, Water",# Bed: 1# Occ: 1
1827 BERKELEY WAY #B,RENTED - Rented or Available,1/15/06,"$1,438.77","Appliances, Laundry Access",# Bed: 2# Occ: 1
1827 BERKELEY WAY #C,RENTED - Rented or Available,5/1/09,"$1,040.77","Appliances, Laundry Access",# Bed: 0# Occ: 1
1829 BERKELEY WAY #A,RENTED - Rented or Available,10/7/07,"$1,633.07","Appliances, Laundry Access",# Bed: 1# Occ: 1
1829 BERKELEY WAY #B,RENTED - Rented or Available,6/1/09,$877.24,"Appliances, Laundry Access",# Bed: 0# Occ: 1
1829 BERKELEY WAY #C,RENTED - Rented or Available,6/1/06,$880.54,"Appliances, Laundry Access, Water",# Bed: 0# Occ: 1
1829 BERKELEY WAY #D,RENTED - Rented or Available,8/16/10,$870.34,"Appliances, Electricity, Gas, Heat, Laundry Access, Water",# Bed: 0# Occ: 1
1829 BERKELEY WAY #E,RENTED - Rented or Available,6/1/09,"$1,040.77","Appliances, Laundry Access",# Bed: 0# Occ: 1
1829 BERKELEY WAY #F,RENTED - Rented or Available,5/1/08,"$1,151.47","Appliances, Garbage, Laundry Access",# Bed: 0# Occ: 1
1831 BERKELEY WAY,OOCC - Owner Occupied since 7/26/1990,n/a,n/a,(no active services),n/a
1833 BERKELEY WAY #1,RENTED - Rented or Available,1/1/87,$477.14,"Electricity, Garbage, Gas, Water",# Bed: 0# Occ: 0
1833 BERKELEY WAY #2,OOCC - Owner Occupied since 7/26/1990,n/a,n/a,(no active services),n/a
1833 BERKELEY WAY #4,RENTED - Rented or Available,1/1/87,$416.71,"Electricity, Garbage, Gas, Water",# Bed: 0# Occ: 0
1833 BERKELEY WAY #5,(~) MISC - Exempt-Misc since 9/1/2012,n/a,n/a,"Electricity, Garbage, Gas, Water",n/a
1833 BERKELEY WAY #7,(~) MISC - Exempt-Misc since 6/5/2001,n/a,n/a,"Electricity, Garbage, Gas, Laundry Access, Parking, Storage, Water",n/a
1909 BERKELEY WAY #1,RENTED - Rented or Available,8/1/13,"$1,190.60","Electricity, Garbage, Gas, Water",# Bed: 0# Occ: 2
1909 BERKELEY WAY #2,RENTED - Rented or Available,4/10/13,"$1,444.24","Appliances, Electricity, Garbage, Gas, Heat, Water",# Bed: 1# Occ: 2
1909 BERKELEY WAY #3,RENTED - Rented or Available,9/15/12,$947.61,"Appliances, Electricity, Garbage, Gas, Heat, Water",# Bed: 0# Occ: 1
1909 BERKELEY WAY #4,RENTED - Rented or Available,7/15/13,"$1,133.65","Electricity, Garbage, Gas, Water",# Bed: 1# Occ: 2
1909 BERKELEY WAY #5,RENTED - Rented or Available,6/1/98,$850.69,Garbage,# Bed: 1# Occ: 1
1909 BERKELEY WAY #6,RENTED - Rented or Available,2/15/13,"$1,237.18","Appliances, Electricity, Garbage, Gas, Heat, Water",# Bed: 0# Occ: 1
1910 BERKELEY WAY,RENTED - Rented or Available,9/1/11,"$2,141.60","Appliances, Garbage, Laundry Access, Parking",# Bed: 2# Occ: 3
1912 BERKELEY WAY,RENTED - Rented or Available,9/1/11,"$2,409.30","Appliances, Garbage, Laundry Access, Storage",# Bed: 2# Occ: 3
1911 BERKELEY WAY #A,RENTED - Rented or Available,6/1/15,"$2,150.00","Garbage, Parking, Water",# Bed: 1# Occ: 2
1911 BERKELEY WAY #B,RENTED - Rented or Available,7/1/10,$951.94,"Appliances, Garbage, Water",# Bed: 0# Occ: 2
1913 BERKELEY WAY #A,RENTED - Rented or Available,6/1/15,"$3,500.00","Garbage, Parking, Water",# Bed: 2# Occ: 2
1913 BERKELEY WAY #B,RENTED - Rented or Available,6/1/15,"$3,300.00","Garbage, Water",# Bed: 2# Occ: 4
1915 BERKELEY WAY,RENTED - Rented or Available,4/11/09,"$1,840.53","Garbage, Parking",# Bed: 2# Occ: 2
1917 BERKELEY WAY,OOCC - Owner Occupied since 6/19/2014,n/a,n/a,Garbage,n/a
2003 BERKELEY WAY,RENTED - Rented or Available,7/1/16,"$2,190.00","Appliances, Garbage, Parking",# Bed: 2# Occ: 2
2005 BERKELEY WAY #A,RENTED - Rented or Available,6/1/16,"$2,190.00",(no active services),# Bed: 2# Occ: 3
2005 BERKELEY WAY #B,RENTED - Rented or Available,6/1/16,"$2,195.00","Appliances, Garbage, Parking",# Bed: 1# Occ: 2
2005 BERKELEY WAY #C,RENTED - Rented or Available,8/9/09,"$1,506.38","Appliances, Garbage, Laundry Access, Parking",# Bed: 2# Occ: 2
2005 BERKELEY WAY #D,RENTED - Rented or Available,7/15/10,"$1,795.09","Garbage, Laundry Access, Parking",# Bed: 2# Occ: 2
2008 BERKELEY WAY #1,RENTED - Rented or Available,6/1/00,$944.35,"Garbage, Sewer, Water",# Bed: 0# Occ: 1
2008 BERKELEY WAY #2,RENTED - Rented or Available,7/27/16,"$1,250.00","Appliances, Garbage, Water",# Bed: 1# Occ: 1
2008 BERKELEY WAY #3,RENTED - Rented or Available,3/1/15,"$1,100.00","Appliances, Garbage, Heat, Water",# Bed: 1# Occ: 1
2008 BERKELEY WAY #4,RENTED - Rented or Available,8/14/16,"$1,250.00","Appliances, Garbage, Water",# Bed: 1# Occ: 1
2008 BERKELEY WAY #5,RENTED - Rented or Available,7/15/15,"$1,100.00","Appliances, Garbage, Heat, Water",# Bed: 1# Occ: 1
2008 BERKELEY WAY #6,RENTED - Rented or Available,1/10/16,"$1,190.00","Appliances, Garbage, Heat, Water",# Bed: 1# Occ: 1
2008 BERKELEY WAY #7,RENTED - Rented or Available,8/12/11,$936.96,"Appliances, Garbage, Water",# Bed: 1# Occ: 1
2008 BERKELEY WAY #8,RENTED - Rented or Available,1/1/14,$903.35,"Appliances, Garbage, Water",# Bed: 1# Occ: 1
2008 BERKELEY WAY #9,RENTED - Rented or Available,2/1/14,$908.43,"Appliances, Garbage, Water",# Bed: 1# Occ: 1
2008 BERKELEY WAY #10-A,RENTED - Rented or Available,12/12/12,$936.02,"Appliances, Electricity, Garbage, Gas, Heat, Water",# Bed: 1# Occ: 1
2008 BERKELEY WAY #10-B,RENTED - Rented or Available,8/16/08,$915.70,"Electricity, Gas, Heat, Sewer, Water",# Bed: 0# Occ: 1
2017 BERKELEY WAY #1,RENTED - Rented or Available,7/1/10,"$2,556.64","Garbage, Water",# Bed: 3# Occ: 4
2017 BERKELEY WAY #2,RENTED - Rented or Available,1/1/16,"$1,750.00","Garbage, Laundry Access, Water",# Bed: 1# Occ: 2
2017 BERKELEY WAY #3,RENTED - Rented or Available,7/1/15,"$2,450.00","Garbage, Water",# Bed: 2# Occ: 2
2017 BERKELEY WAY #4,RENTED - Rented or Available,8/5/10,"$1,631.91","Garbage, Parking, Water",# Bed: 2# Occ: 2
2017 BERKELEY WAY #5,RENTED - Rented or Available,6/6/14,"$2,233.00","Garbage, Water",# Bed: 2# Occ: 3
2017 BERKELEY WAY #6,RENTED - Rented or Available,6/7/16,"$2,650.00","Garbage, Water",# Bed: 2# Occ: 4
2017 BERKELEY WAY #7,RENTED - Rented or Available,6/5/16,"$2,850.00","Garbage, Water",# Bed: 2# Occ: 4
2017 BERKELEY WAY #8,RENTED - Rented or Available,7/1/14,"$2,030.00","Garbage, Water",# Bed: 2# Occ: 4
2017 BERKELEY WAY #9,RENTED - Rented or Available,6/6/15,"$2,600.00","Garbage, Water",# Bed: 2# Occ: 2
2017 BERKELEY WAY #10,RENTED - Rented or Available,6/1/15,"$2,200.00","Garbage, Water",# Bed: 2# Occ: 3
2017 BERKELEY WAY #11,RENTED - Rented or Available,10/8/10,"$1,523.10","Garbage, Parking, Water",# Bed: 2# Occ: 2
2017 BERKELEY WAY #12,RENTED - Rented or Available,5/26/15,"$2,300.00","Garbage, Water",# Bed: 2# Occ: 4
2053 BERKELEY WAY,RENTED - Rented or Available,7/1/15,"$2,800.00","Appliances, Laundry Access",# Bed: 3# Occ: 3
2055 BERKELEY WAY #1,RENTED - Rented or Available since 11/1/2011,n/a,$0.00,(no active services),# Bed: 1
2055 BERKELEY WAY #2,RENTED - Rented or Available since 11/1/2011,n/a,$0.00,(no active services),# Bed: 1
2055 BERKELEY WAY #3,RENTED - Rented or Available since 11/1/2011,n/a,"$1,248.45",(no active services),# Bed: 1
2055 BERKELEY WAY #4,RENTED - Rented or Available since 11/1/2011,n/a,$0.00,(no active services),# Bed: 1
2057 BERKELEY WAY,RENTED - Rented or Available since 7/1/1994,n/a,"$1,009.81","Electricity, Garbage, Gas, Water",# Bed: 3
2059 BERKELEY WAY,RENTED - Rented or Available since 8/15/2013,n/a,"$2,691.78","Garbage, Water",# Bed: 3
1721 BERKELEY WAY #3,"CHSFD - Single family, C-H exempt since 1/1/1999",n/a,n/a,"Garbage, Laundry Access, Parking, Water",n/a
1721 BERKELEY WAY #4,OOCC - Owner Occupied since 10/24/1997,n/a,n/a,(no active services),n/a
1721 BERKELEY WAY #6,"CHSFD - Single family, C-H exempt since 7/1/1999",n/a,n/a,"Electricity, Furnishings, Garbage, Gas, Heat, Laundry Access, Parking, Storage, Water",n/a
1808 BERRYMAN ST,RENTED - Rented or Available,9/23/13,"$1,941.19",Garbage,# Bed: 2# Occ: 2
1810 BERRYMAN ST #LOWER,RENTED - Rented or Available,1/1/81,$782.86,"Garbage, Laundry Access, Water",# Bed: 2# Occ: 0
1810 BERRYMAN ST #UPPER,(~) MISC - Exempt-Misc since 6/24/2010,n/a,n/a,"Garbage, Laundry Access, Water",n/a
1843 BERRYMAN ST,"CHSFD - Single family, C-H exempt since 7/1/1999",n/a,n/a,Garbage,n/a
1845 BERRYMAN ST #1,OOCC - Owner Occupied since 10/15/2002,n/a,n/a,"Garbage, Sewer, Water",n/a
1845 BERRYMAN ST #2,OOCC - Owner Occupied since 10/15/2002,n/a,n/a,"Garbage, Laundry Access, Parking, Sewer, Storage, Water",n/a
1845 BERRYMAN ST #3,OOCC - Owner Occupied since 10/15/2002,n/a,n/a,"Garbage, Sewer, Water",n/a
1910 BERRYMAN ST #101,RENTED - Rented or Available,10/1/13,"$1,708.25","Appliances, Garbage, Water",# Bed: 2# Occ: 2
1910 BERRYMAN ST #102,RENTED - Rented or Available,7/11/07,"$1,909.01","Garbage, Water",# Bed: 2# Occ: 2
1910 BERRYMAN ST #103,RENTED - Rented or Available,5/31/80,$717.08,"Garbage, Laundry Access, Water",# Bed: 2# Occ: 0
1910 BERRYMAN ST #104,RENTED - Rented or Available,1/5/11,"$1,707.93","Garbage, Water",# Bed: 2# Occ: 2
1910 BERRYMAN ST #105,RENTED - Rented or Available,7/15/16,"$2,495.00","Garbage, Water",# Bed: 2# Occ: 2
1910 BERRYMAN ST #106,RENTED - Rented or Available,8/1/04,"$1,658.98","Garbage, Water",# Bed: 2# Occ: 2
1910 BERRYMAN ST #107,RENTED - Rented or Available,8/1/16,"$1,995.00","Garbage, Water",# Bed: 2# Occ: 2
1910 BERRYMAN ST #108,RENTED - Rented or Available,5/14/16,"$2,495.00","Garbage, Water",# Bed: 2# Occ: 2
1910 BERRYMAN ST #201,RENTED - Rented or Available,5/31/80,$725.06,"Garbage, Laundry Access, Water",# Bed: 2# Occ: 0
1910 BERRYMAN ST #202,RENTED - Rented or Available,7/15/13,"$1,708.25","Garbage, Water",# Bed: 2# Occ: 2
1910 BERRYMAN ST #203,RENTED - Rented or Available,1/20/16,"$2,595.00","Garbage, Water",# Bed: 2# Occ: 2
1910 BERRYMAN ST #204,RENTED - Rented or Available,8/22/13,"$1,708.25","Garbage, Water",# Bed: 2# Occ: 2
1910 BERRYMAN ST #205,RENTED - Rented or Available,7/1/16,"$2,495.00","Garbage, Water",# Bed: 2# Occ: 2
1910 BERRYMAN ST #206,RENTED - Rented or Available,6/1/13,"$1,708.25","Garbage, Water",# Bed: 2# Occ: 2
1910 BERRYMAN ST #207,RENTED - Rented or Available,6/1/14,"$1,923.43","Garbage, Water",# Bed: 2# Occ: 2
1910 BERRYMAN ST #208,RENTED - Rented or Available,5/9/16,"$2,495.00","Garbage, Water",# Bed: 2# Occ: 2
1910 BERRYMAN ST #209,NEW - New Construction since 11/1/2005,n/a,n/a,(no active services),n/a
1910 BERRYMAN ST #301,RENTED - Rented or Available,6/15/11,"$1,815.00","Garbage, Water",# Bed: 2# Occ: 2
1910 BERRYMAN ST #302,RENTED - Rented or Available,10/13/14,"$2,024.93","Garbage, Water",# Bed: 2# Occ: 2
1910 BERRYMAN ST #303,RENTED - Rented or Available,7/1/09,"$1,856.95","Garbage, Water",# Bed: 2# Occ: 1
1910 BERRYMAN ST #304,RENTED - Rented or Available,1/7/08,"$1,858.82","Garbage, Water",# Bed: 2# Occ: 2
1910 BERRYMAN ST #305,RENTED - Rented or Available,6/22/15,"$1,895.00",Garbage,# Bed: 2# Occ: 2
1910 BERRYMAN ST #306,RENTED - Rented or Available,8/1/12,"$2,439.58","Garbage, Water",# Bed: 2# Occ: 1
1910 BERRYMAN ST #307,RENTED - Rented or Available,7/10/15,"$1,850.00","Garbage, Water",# Bed: 2# Occ: 1
1910 BERRYMAN ST #308,RENTED - Rented or Available,3/1/05,"$1,771.44","Garbage, Water",# Bed: 2# Occ: 1
1911 BERRYMAN ST #A,OOCC - Owner Occupied since 7/26/1990,n/a,n/a,(no active services),n/a
1911 BERRYMAN ST #B,RENTED - Rented or Available,12/1/13,"$2,588.25",Garbage,# Bed: 2# Occ: 1
1913 BERRYMAN ST #A,RENTED - Rented or Available,10/26/03,"$2,159.85",Garbage,# Bed: 2# Occ: 2
1913 BERRYMAN ST #B,RENTED - Rented or Available,8/8/15,"$3,350.00",Garbage,# Bed: 2# Occ: 2
1915 BERRYMAN ST #A,OOCC - Owner Occupied since 7/24/1990,n/a,n/a,"Electricity, Gas",n/a
1915 BERRYMAN ST #B,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Electricity, Gas",n/a
1915 BERRYMAN ST #C,RENTED - Rented or Available,8/11/14,"$2,227.93","Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Parking, Water",# Bed: 1# Occ: 1
1931 BERRYMAN ST #101,RENTED - Rented or Available,7/1/14,"$2,740.50","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 3# Occ: 3
1931 BERRYMAN ST #102,RENTED - Rented or Available since 8/18/1994,n/a,$906.98,"Garbage, Water",# Bed: 2
1931 BERRYMAN ST #201,RENTED - Rented or Available,9/9/13,"$2,588.25","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 2# Occ: 3
1931 BERRYMAN ST #202,RENTED - Rented or Available,3/1/15,"$2,600.00","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 2# Occ: 3
1931 BERRYMAN ST #203,RENTED - Rented or Available since 1/26/1982,n/a,$914.91,"Garbage, Water",# Bed: 2
1931 BERRYMAN ST #301,RENTED - Rented or Available,3/5/16,"$3,300.00","Appliances, Garbage, Laundry Access, Parking, Water",# Bed: 3# Occ: 1
1931 BERRYMAN ST #302,RENTED - Rented or Available since 6/1/1996,n/a,"$1,302.11","Garbage, Water",# Bed: 2
1931 BERRYMAN ST #303,RENTED - Rented or Available since 4/15/1995,n/a,"$1,449.02","Garbage, Water",# Bed: 4
1936 BERRYMAN ST #A,RENTED - Rented or Available,9/12/15,"$2,300.00",(no active services),# Bed: 1# Occ: 2
1936 BERRYMAN ST #B,RENTED - Rented or Available,8/1/12,"$1,526.70","Electricity, Garbage, Gas, Water",# Bed: 1# Occ: 2
1936 BERRYMAN ST #C,RENTED - Rented or Available,9/10/15,"$3,450.00",(no active services),# Bed: 2# Occ: 2
1936 BERRYMAN ST #D,RENTED - Rented or Available,2/1/15,"$1,500.00",(no active services),# Bed: 0# Occ: 1
2033 BERRYMAN ST,OOCC - Owner Occupied,12/31/95,n/a,"Electricity, Garbage, Gas, Water",n/a
2033 BERRYMAN ST #COTTG,(~) MISC - Exempt-Misc since 9/1/1992,n/a,n/a,(no active services),n/a
2033 BERRYMAN ST #LOWER,RENTED - Rented or Available,5/13/05,"$1,062.85","Appliances, Electricity, Garbage, Heat, Water",# Bed: 1# Occ: 1
1600 BEVERLY PL,MISC - Exempt-Misc since 4/23/1991,n/a,n/a,(no active services),n/a
1145 MONTEREY AVE,OOCC - Owner Occupied since 4/23/1991,n/a,n/a,(no active services),n/a
1111 BLAKE ST #1,(~) MISC - Exempt-Misc since 7/1/2011,n/a,n/a,"Appliances, Garbage, Other, Parking",n/a
1111 BLAKE ST #2,RENTED - Rented or Available,2/1/01,"$1,582.48","Garbage, Parking",# Bed: 2# Occ: 2
1111 BLAKE ST #3,NAR - Not Available for Rent since 2/15/2005,n/a,n/a,"Garbage, Parking",n/a
1111 BLAKE ST #4,NAR - Not Available for Rent since 5/2/2002,n/a,n/a,"Garbage, Other, Parking",n/a
1116 BLAKE ST #1,(~) MISC - Exempt-Misc since 5/15/2009,n/a,n/a,"Garbage, Parking",n/a
1116 BLAKE ST #2,OOCC - Owner Occupied since 11/10/2009,n/a,n/a,"Appliances, Garbage, Parking",n/a
1116 BLAKE ST #3,OOCC - Owner Occupied since 3/1/2010,n/a,n/a,(no active services),n/a
1117 BLAKE ST,RENTED - Rented or Available,6/15/16,"$1,925.00","Appliances, Garbage",# Bed: 1# Occ: 2
1119 BLAKE ST,OOCC - Owner Occupied since 12/4/2003,n/a,n/a,Parking,n/a
1125 BLAKE ST,OOCC - Owner Occupied since 7/1/2005,n/a,n/a,"Garbage, Storage",n/a
1128 BLAKE ST,OOCC - Owner Occupied since 6/30/1994,n/a,n/a,(no active services),n/a
1129 BLAKE ST,OOCC - Owner Occupied since 7/11/1990,n/a,n/a,(no active services),n/a
1205 BLAKE ST,OOCC - Owner Occupied since 7/1/2005,n/a,n/a,(no active services),n/a
1207 BLAKE ST,"CHSFD - Single family, C-H exempt since 2/1/2000",n/a,n/a,"Garbage, Parking, Storage",n/a
1212 BLAKE ST,OOCC - Owner Occupied since 7/1/2015,n/a,n/a,"Garbage, Parking",n/a
1215 BLAKE ST #A,(~) MISC - Exempt-Misc,10/1/10,n/a,"Garbage, Laundry Access, Water",n/a
1215 BLAKE ST #B,RENTED - Rented or Available,8/1/16,"$1,900.00","Appliances, Garbage, Laundry Access, Storage",# Bed: 2# Occ: 2
1215 BLAKE ST #C,(~) MISC - Exempt-Misc since 8/1/2010,n/a,n/a,"Appliances, Garbage, Laundry Access, Storage",n/a
1215 BLAKE ST #D,(~) MISC - Exempt-Misc since 7/1/2010,n/a,n/a,"Appliances, Garbage, Laundry Access, Storage",n/a
1217 BLAKE ST,RENTED - Rented or Available,11/1/14,"$1,877.75","Appliances, Garbage, Laundry Access",# Bed: 2# Occ: 2
1216 BLAKE ST,OOCC - Owner Occupied since 2/6/1998,n/a,n/a,"Garbage, Parking, Storage, Water",n/a
1220 BLAKE ST,OOCC - Owner Occupied since 4/30/1990,n/a,n/a,(no active services),n/a
1236 BLAKE ST,OOCC - Owner Occupied since 5/16/1997,n/a,n/a,"Garbage, Parking, Water",n/a
1301 BLAKE ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,(no active services),n/a
1331 BLAKE ST,RENTED - Rented or Available,1/1/06,"$3,740.85","Appliances, Garbage, Laundry Access, Parking",# Bed: 4# Occ: 6
1331 BLAKE ST #A,OOCC - Owner Occupied since 3/11/2012,n/a,n/a,(no active services),n/a
1331 BLAKE ST #B,RENTED - Rented or Available,12/1/05,"$1,198.67","Appliances, Garbage",# Bed: 2# Occ: 1
1335 BLAKE ST,OOCC - Owner Occupied since 12/5/1990,n/a,n/a,(no active services),n/a
1339 BLAKE ST,MISC - Exempt-Misc since 6/30/1994,n/a,n/a,(no active services),n/a
1340 BLAKE ST,(~) MISC - Exempt-Misc since 11/10/2004,n/a,n/a,"Garbage, Laundry Access, Parking, Water",n/a
1342 BLAKE ST,(~) MISC - Exempt-Misc since 11/10/2004,n/a,n/a,"Garbage, Parking",n/a
1344 BLAKE ST,(~) MISC - Exempt-Misc since 11/10/2004,n/a,n/a,(no active services),n/a
1346 BLAKE ST,(~) MISC - Exempt-Misc since 11/10/2004,n/a,n/a,"Garbage, Parking",n/a
1348 BLAKE ST,(~) MISC - Exempt-Misc since 11/10/2004,n/a,n/a,"Garbage, Parking",n/a
1418 BLAKE ST,OOCC - Owner Occupied since 12/14/1993,n/a,n/a,"Parking, Storage",n/a
1436 BLAKE ST,RENTED - Rented or Available,3/17/12,"$1,368.77","Appliances, Laundry Access, Parking, Storage",# Bed: 1# Occ: 1
1438 BLAKE ST,RENTED - Rented or Available,4/1/96,"$1,172.87","Parking, Storage, Water",# Bed: 3# Occ: 0
1442 BLAKE ST,"CHSFD - Single family, C-H exempt since 5/31/2000",n/a,n/a,(no active services),n/a
1500 BLAKE ST,OOCC - Owner Occupied since 7/1/1985,n/a,n/a,"Garbage, Storage",n/a
1500 BLAKE ST #INLAW,RENTED - Rented or Available,11/1/07,$619.43,"Appliances, Electricity, Garbage, Gas, Heat, Water",# Bed: 1# Occ: 1
2545 SACRAMENTO ST,RENTED - Rented or Available,8/20/12,$868.65,"Appliances, Garbage, Water",# Bed: 1# Occ: 1
1514 BLAKE ST,OOCC - Owner Occupied since 4/23/1991,n/a,n/a,(no active services),n/a
1516 BLAKE ST,OOCC - Owner Occupied since 4/23/1991,n/a,n/a,(no active services),n/a
1515 BLAKE ST,RENTED - Rented or Available,5/31/80,"$1,026.61","Garbage, Parking, Water",# Bed: 2# Occ: 0
1515 BLAKE ST #A,RENTED - Rented or Available,5/31/80,$815.57,"Garbage, Parking, Water",# Bed: 1# Occ: 0
1540 BLAKE ST,OOCC - Owner Occupied since 11/28/2014,n/a,n/a,"Appliances, Garbage",n/a
1540 BLAKE ST #1/2,RENTED - Rented or Available,8/1/04,"$1,070.31","Appliances, Garbage",# Bed: 2# Occ: 0
1606 BLAKE ST #LOWER,OOCC - Owner Occupied since 12/10/1996,n/a,n/a,"Garbage, Parking, Water",n/a
1606 BLAKE ST #UPPER,OOCC - Owner Occupied since 12/10/1996,n/a,n/a,"Garbage, Parking, Water",n/a
1610 BLAKE ST,OOCC - Owner Occupied since 7/1/2005,n/a,n/a,"Furnishings, Garbage, Laundry Access, Parking, Storage",n/a
1615 BLAKE ST,OOCC - Owner Occupied since 6/1/1988,n/a,n/a,"Electricity, Garbage, Gas, Laundry Access, Water",n/a
1615 BLAKE ST #1/2-A,OOCC - Owner Occupied since 3/1/1999,n/a,n/a,"Electricity, Garbage, Gas, Water",n/a
1615 BLAKE ST #1/2-B,RENTED - Rented or Available,10/2/98,$757.77,"Electricity, Gas",# Bed: 0# Occ: 0
1618 BLAKE ST,RENTED - Rented or Available,11/7/15,"$4,295.00","Garbage, Laundry Access, Parking, Storage",# Bed: 0# Occ: 2
1618 BLAKE ST #A,RENTED - Rented or Available,1/1/81,$599.57,"Garbage, Parking, Storage",# Bed: 1# Occ: 0
1618 BLAKE ST #B,(~) MISC - Exempt-Misc since 8/30/2004,n/a,n/a,"Garbage, Parking, Storage",n/a
1619 BLAKE ST,"CHSFD - Single family, C-H exempt since 7/1/1999",n/a,n/a,"Laundry Access, Parking, Storage",n/a
1620 BLAKE ST #1,RENTED - Rented or Available,9/1/14,"$1,821.93","Appliances, Garbage, Heat, Laundry Access, Parking, Storage",# Bed: 2# Occ: 1
1620 BLAKE ST #2,(~) MISC - Exempt-Misc since 1/10/2010,n/a,n/a,"Garbage, Laundry Access, Parking, Storage",n/a
1620 BLAKE ST #3,(~) MISC - Exempt-Misc since 1/1/2010,n/a,n/a,"Garbage, Sewer",n/a
1620 BLAKE ST #4,(~) MISC - Exempt-Misc since 1/1/2010,n/a,n/a,"Garbage, Laundry Access, Parking, Storage",n/a
